id,brand_name,variant_name,resale_price,registered_year,engine_capacity_cc,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,power_unit,car_age,engine_liters
0,Maruti Suzuki,Baleno 1.2 Alpha,545000,2017.0,1197.0,Third Party,Manual,40000.0,First Owner,Petrol,83.1,5.0,21.4,Hatchback,Agra,BHP,8.0,1.2
1,Tata,Hexa XTA,1000000,2018.0,2179.0,Third Party,Automatic,70000.0,First Owner,Diesel,153.86,7.0,17.6,MUV,Agra,BHP,7.0,2.2
2,Maruti Suzuki,Swift Dzire VXI,450000,2015.0,1197.0,Third Party,Manual,70000.0,Second Owner,Petrol,83.14,5.0,20.85,Sedan,Agra,BHP,10.0,1.2
3,Maruti Suzuki,Swift Dzire VXI,450000,2015.0,1197.0,Third Party,Manual,70000.0,Second Owner,Petrol,83.14,5.0,20.85,Sedan,Agra,BHP,10.0,1.2
4,Hyundai,i10 Magna 1.1,160000,2009.0,1086.0,Third Party,Manual,80000.0,First Owner,Petrol,68.05,5.0,19.81,Hatchback,Agra,BHP,16.0,1.1
5,Hyundai,i20 Active 1.2,470000,2015.0,1197.0,Third Party,Manual,70000.0,First Owner,Petrol,81.86,5.0,17.19,Hatchback,Agra,BHP,10.0,1.2
6,Tata,Tiago 1.05 Revotorq XZ,360000,2017.0,1047.0,Third Party,Manual,120000.0,First Owner,Diesel,69.0,5.0,27.28,Hatchback,Agra,BHP,8.0,1.0
7,Hyundai,i10 Magna 1.1,200000,2010.0,1086.0,Third Party,Manual,60000.0,Second Owner,Petrol,68.05,5.0,19.81,Hatchback,Agra,BHP,15.0,1.1
8,Maruti Suzuki,Eeco 7 Seater Standard BSIV,370000,2016.0,1196.0,Third Party,Manual,20000.0,First Owner,Petrol,73.0,7.0,15.37,Minivans,Agra,BHP,9.0,1.2
9,Hyundai,Santro Xing GL,120000,2009.0,1086.0,Third Party,Manual,30000.0,First Owner,Petrol,62.0,5.0,,Hatchback,Agra,BHP,16.0,1.1
10,Honda,Amaze E i-Vtech,330000,2014.0,1198.0,Third Party,Manual,70000.0,First Owner,Petrol,86.7,5.0,18.0,Sedan,Agra,BHP,11.0,1.2
11,Hyundai,Xcent 1.2 VTVT SX,475000,2018.0,1197.0,Third Party,Manual,60000.0,Second Owner,Petrol,81.86,5.0,20.14,Sedan,Agra,BHP,7.0,1.2
12,Maruti Suzuki,Ciaz Sigma BSIV,686000,2020.0,1462.0,Third Party,Manual,50000.0,Third Owner,Petrol,103.25,5.0,21.56,Sedan,Agra,BHP,5.0,1.5
13,Hyundai,Venue SX Opt Executive Diesel,1250000,2021.0,1493.0,Third Party,Manual,60000.0,First Owner,Diesel,98.6,5.0,23.7,SUV,Agra,BHP,4.0,1.5
14,Hyundai,Venue SX Dual Tone Diesel BSIV,1100000,2021.0,1396.0,Third Party,Manual,60000.0,First Owner,Diesel,89.0,5.0,23.7,SUV,Agra,BHP,4.0,1.4
15,Maruti Suzuki,Alto K10 VXI AGS Optional,395000,2019.0,998.0,Third Party,Automatic,20000.0,First Owner,Petrol,67.1,5.0,23.95,Hatchback,Agra,BHP,6.0,1.0
16,Maruti Suzuki,Wagon R LXI CNG,350000,2016.0,998.0,Third Party,Manual,40000.0,First Owner,CNG,58.16,5.0,26.6,Hatchback,Agra,BHP,9.0,1.0
17,Toyota,Etios VX,289000,2011.0,1496.0,Third Party,Manual,50000.0,Second Owner,Petrol,88.7,5.0,17.6,Sedan,Agra,BHP,14.0,1.5
18,Toyota,Corolla Altis Diesel D4DGL,282000,2011.0,1364.0,Third Party,Manual,150000.0,First Owner,Diesel,87.2,5.0,21.43,Sedan,Agra,BHP,14.0,1.4
19,Kia,Sonet HTX Plus Turbo iMT BSVI,1000000,2021.0,998.0,Third Party,Manual,10000.0,First Owner,Petrol,118.36,5.0,18.2,SUV,Agra,BHP,4.0,1.0
20,Maruti Suzuki,Ciaz Alpha BSVI,785000,2020.0,1462.0,Third Party,Manual,30000.0,Second Owner,Petrol,103.25,5.0,20.65,Sedan,Agra,BHP,5.0,1.5
21,Ford,Ecosport 1.5 DV5 MT Ambiente,300000,2014.0,1498.0,Third Party,Manual,150000.0,Third Owner,Diesel,89.84,5.0,22.7,SUV,Agra,BHP,11.0,1.5
22,Mitsubishi,Outlander 2.4,397000,2011.0,2360.0,Third Party,Automatic,80000.0,Second Owner,Petrol,167.67,5.0,11.3,SUV,Agra,PS,14.0,2.4
23,Maruti Suzuki,Swift Dzire VDI,375000,2015.0,1248.0,Third Party,Manual,20000.0,First Owner,Diesel,74.0,5.0,26.59,Sedan,Agra,BHP,10.0,1.2
24,Maruti Suzuki,Alto K10 LXI,100000,2011.0,998.0,Third Party,Manual,120000.0,Third Owner,Petrol,67.1,5.0,20.92,Hatchback,Agra,BHP,14.0,1.0
25,Mitsubishi,Outlander 2.4,397000,2011.0,2360.0,Third Party,Automatic,80000.0,Second Owner,Petrol,167.67,5.0,11.3,SUV,Agra,PS,14.0,2.4
26,Maruti Suzuki,Baleno Zeta,675000,2021.0,1197.0,Third Party,Manual,40000.0,First Owner,Petrol,81.8,5.0,21.01,Hatchback,Agra,BHP,4.0,1.2
27,Hyundai,Xcent 1.2 VTVT SX,465000,2018.0,1197.0,Third Party,Manual,60000.0,Second Owner,Petrol,81.86,5.0,20.14,Sedan,Agra,BHP,7.0,1.2
28,Maruti Suzuki,Swift Dzire VXI,480000,2015.0,1197.0,Third Party,Manual,80000.0,Second Owner,Petrol,83.14,5.0,20.85,Sedan,Agra,BHP,10.0,1.2
29,Maruti Suzuki,Alto 800 LXI,225000,2014.0,796.0,Third Party,Manual,100000.0,First Owner,Petrol,47.3,5.0,22.74,Hatchback,Agra,BHP,11.0,0.8
30,Maruti Suzuki,Wagon R VXI Optional,320000,2016.0,998.0,Third Party,Manual,70000.0,Second Owner,Petrol,67.04,5.0,20.51,Hatchback,Agra,BHP,9.0,1.0
31,Hyundai,Grand i10 Sportz,415000,2015.0,1197.0,Third Party,Manual,30000.0,First Owner,Petrol,82.0,5.0,18.9,Hatchback,Agra,BHP,10.0,1.2
32,Maruti Suzuki,Swift VDI,240000,2012.0,1248.0,Third Party,Manual,120000.0,Third Owner,Diesel,74.0,5.0,22.9,Hatchback,Agra,BHP,13.0,1.2
33,Mahindra,XUV500 W6 2WD,350000,2013.0,2179.0,Third Party,Manual,100000.0,Third Owner,Diesel,140.0,7.0,15.1,SUV,Agra,BHP,12.0,2.2
34,Mahindra,XUV500 W6 2WD,350000,2013.0,2179.0,Third Party,Manual,100000.0,Third Owner,Diesel,140.0,7.0,15.1,SUV,Agra,BHP,12.0,2.2
35,Tata,New Safari DICOR 2.2 EX 4x2,296000,2013.0,2179.0,Third Party,Manual,90000.0,Second Owner,Diesel,138.1,7.0,11.57,SUV,Agra,BHP,12.0,2.2
36,Tata,New Safari DICOR 2.2 EX 4x2,296000,2013.0,2179.0,Third Party,Manual,90000.0,Second Owner,Diesel,138.1,7.0,11.57,SUV,Agra,BHP,12.0,2.2
37,Tata,Tiago 1.2 Revotron XE,316000,2018.0,1199.0,Third Party,Manual,100000.0,First Owner,Petrol,84.0,5.0,23.84,Hatchback,Agra,BHP,7.0,1.2
38,Maruti Suzuki,Vitara Brezza ZDi Plus Dual Tone,750000,2017.0,1248.0,Third Party,Manual,100000.0,Second Owner,Diesel,88.5,5.0,24.3,SUV,Agra,BHP,8.0,1.2
39,Maruti Suzuki,Ertiga VDI,900000,2019.0,1248.0,Third Party,Manual,120000.0,First Owner,Diesel,88.5,7.0,25.47,MUV,Agra,BHP,6.0,1.2
40,Maruti Suzuki,Celerio VXI BSVI,560000,2022.0,998.0,Third Party,Manual,10000.0,First Owner,Petrol,65.71,5.0,25.24,Hatchback,Agra,BHP,3.0,1.0
41,Maruti Suzuki,Vitara Brezza ZDi Plus,800000,2017.0,1248.0,Third Party,Manual,150000.0,First Owner,Diesel,88.5,5.0,24.3,SUV,Agra,BHP,8.0,1.2
42,Hyundai,Creta 1.4 E Plus,900000,2017.0,1396.0,Third Party,Manual,120000.0,Second Owner,Diesel,88.7,5.0,22.1,SUV,Agra,BHP,8.0,1.4
43,Maruti Suzuki,Alto 800 LXI,280000,2019.0,796.0,Third Party,Manual,80000.0,First Owner,Petrol,47.33,5.0,22.05,Hatchback,Agra,BHP,6.0,0.8
44,Toyota,Innova 2.5 E Diesel MS 7-seater,550000,2013.0,2494.0,Third Party,Manual,90000.0,Second Owner,Diesel,100.6,7.0,11.4,Toyota,Agra,BHP,12.0,2.5
45,Toyota,Innova 2.5 G (Diesel) 7 Seater BS III,250000,2009.0,2494.0,Third Party,Manual,150000.0,First Owner,Diesel,102.0,8.0,12.8,MUV,Agra,,16.0,2.5
46,Tata,Manza Aqua Quadrajet,150000,2011.0,1248.0,Third Party,Manual,150000.0,First Owner,Diesel,88.77,5.0,18.8,Sedan,Agra,PS,14.0,1.2
47,Tata,Manza Aqua Quadrajet,150000,2011.0,1248.0,Third Party,Manual,150000.0,First Owner,Diesel,88.77,5.0,18.8,Sedan,Agra,PS,14.0,1.2
48,Hyundai,Grand i10 1.2 CRDi Sportz Option,480000,2017.0,1186.0,Third Party,Manual,20000.0,First Owner,Diesel,73.97,5.0,24.0,Hatchback,Agra,BHP,8.0,1.2
49,Maruti Suzuki,Eeco CNG 5 Seater AC BSIV,300000,2017.0,1196.0,Third Party,Manual,150000.0,First Owner,CNG,61.7,5.0,21.94,Minivans,Agra,BHP,8.0,1.2
50,Maruti Suzuki,Eeco CNG 5 Seater AC BSIV,300000,2017.0,1196.0,Third Party,Manual,150000.0,First Owner,CNG,61.7,5.0,21.94,Minivans,Agra,BHP,8.0,1.2
51,Maruti Suzuki,Eeco CNG 5 Seater AC BSIV,300000,2017.0,1196.0,Third Party,Manual,150000.0,First Owner,CNG,61.7,5.0,21.94,Minivans,Agra,BHP,8.0,1.2
52,Audi,A4 2.0 TDI,1200000,2014.0,1968.0,Third Party,Automatic,30000.0,Second Owner,Diesel,147.51,5.0,16.55,Sedan,Agra,BHP,11.0,2.0
53,Hyundai,i20 Sportz BSVI,800000,2022.0,1197.0,Third Party,Manual,10000.0,First Owner,Petrol,81.8,5.0,21.0,Hatchback,Agra,BHP,3.0,1.2
54,Volkswagen,Polo Diesel Trendline 1.2L,200000,2012.0,1199.0,Third Party,Manual,80000.0,Fifth Owner,Diesel,73.9,5.0,22.07,Hatchback,Agra,BHP,13.0,1.2
55,Maruti Suzuki,Vitara Brezza VDi,740000,2019.0,1248.0,Third Party,Manual,80000.0,Second Owner,Diesel,88.5,5.0,24.3,SUV,Agra,BHP,6.0,1.2
56,Hyundai,Santro Xing GLS,150000,2009.0,1086.0,Third Party,Manual,30000.0,First Owner,Petrol,62.1,5.0,17.92,Hatchback,Agra,BHP,16.0,1.1
57,Maruti Suzuki,Swift Dzire VDI,520000,2016.0,1248.0,Third Party,Manual,30000.0,First Owner,Diesel,74.0,5.0,26.59,Sedan,Agra,BHP,9.0,1.2
58,Hyundai,i10 Sportz 1.2,170000,2010.0,1197.0,Third Party,Manual,80000.0,Third Owner,Petrol,78.9,5.0,20.36,Hatchback,Agra,BHP,15.0,1.2
59,Hyundai,Venue S BSIV,710000,2021.0,1197.0,Third Party,Manual,30000.0,First Owner,Petrol,81.86,5.0,17.52,SUV,Agra,BHP,4.0,1.2
60,Skoda,Rapid 1.0 TSI Onyx,950000,2021.0,999.0,Third Party,Manual,20000.0,First Owner,Petrol,108.62,5.0,18.97,Sedan,Agra,BHP,4.0,1.0
61,Ford,Figo Diesel ZXI,240000,2013.0,1399.0,Third Party,Manual,70000.0,First Owner,Diesel,68.05,5.0,20.0,Hatchback,Agra,BHP,12.0,1.4
62,Skoda,Rapid 1.0 TSI Onyx,930000,2021.0,999.0,Third Party,Manual,20000.0,First Owner,Petrol,108.62,5.0,18.97,Sedan,Agra,BHP,4.0,1.0
63,MG,Hector Plus Select Diesel MT 7 STR,1922000,2022.0,1956.0,Third Party,Manual,20000.0,First Owner,Diesel,167.67,7.0,16.56,SUV,Agra,BHP,3.0,2.0
64,Hyundai,EON D Lite,150000,2013.0,814.0,Third Party,Manual,50000.0,Second Owner,Petrol,55.2,5.0,21.1,Hatchback,Agra,BHP,12.0,0.8
65,Hyundai,Grand i10 Magna,380000,2015.0,1197.0,Third Party,Manual,30000.0,First Owner,Petrol,82.0,5.0,18.9,Hatchback,Agra,BHP,10.0,1.2
66,Tata,Punch Adventure BSVI,590000,2021.0,1199.0,Third Party,Manual,30000.0,First Owner,Petrol,86.63,5.0,20.09,SUV,Agra,BHP,4.0,1.2
67,Volkswagen,Polo 1.5 TDI Comfortline,400000,2016.0,1498.0,Third Party,Manual,150000.0,First Owner,Diesel,88.0,5.0,20.14,Hatchback,Agra,BHP,9.0,1.5
68,Toyota,Etios Liva GD,300000,2013.0,1364.0,Third Party,Manual,40000.0,First Owner,Diesel,67.06,5.0,23.59,Hatchback,Agra,BHP,12.0,1.4
69,Renault,Duster 85PS Diesel RxE,500000,2017.0,1461.0,Third Party,Manual,120000.0,First Owner,Diesel,83.8,5.0,19.87,SUV,Agra,BHP,8.0,1.5
70,Maruti Suzuki,Alto 800 LXI,210000,2015.0,796.0,Third Party,Manual,20000.0,First Owner,Petrol,47.3,5.0,22.74,Hatchback,Agra,BHP,10.0,0.8
71,Maruti Suzuki,Wagon R LX Minor,100000,2009.0,998.0,Third Party,Manual,90000.0,Second Owner,Petrol,67.1,5.0,18.9,Hatchback,Agra,BHP,16.0,1.0
72,Mahindra,XUV500 W10 2WD,900000,2015.0,2179.0,Third Party,Manual,50000.0,First Owner,Diesel,140.0,7.0,16.0,SUV,Agra,BHP,10.0,2.2
73,Kia,Seltos HTX Diesel,1349000,2020.0,1493.0,Third Party,Manual,70000.0,First Owner,Diesel,113.43,5.0,20.8,SUV,Agra,BHP,5.0,1.5
74,Maruti Suzuki,Swift Dzire VDI,650000,2019.0,1248.0,Third Party,Manual,50000.0,First Owner,Diesel,74.02,5.0,28.4,Sedan,Agra,BHP,6.0,1.2
75,Maruti Suzuki,Wagon R LXI,475000,2019.0,998.0,Third Party,Manual,20000.0,First Owner,Petrol,67.05,5.0,21.79,Hatchback,Agra,BHP,6.0,1.0
76,Nissan,Terrano XE 85 PS,320000,2014.0,1461.0,Third Party,Manual,90000.0,Second Owner,Diesel,83.8,5.0,20.45,SUV,Agra,BHP,11.0,1.5
77,Maruti Suzuki,Swift Dzire VDI,650000,2019.0,1248.0,Third Party,Manual,50000.0,First Owner,Diesel,74.02,5.0,28.4,Sedan,Agra,BHP,6.0,1.2
78,Hyundai,Grand i10 Sportz,370000,2015.0,1197.0,Third Party,Manual,60000.0,Second Owner,Petrol,82.0,5.0,18.9,Hatchback,Agra,BHP,10.0,1.2
79,Maruti Suzuki,Wagon R LXI Minor,110000,2009.0,1061.0,Third Party,Manual,90000.0,Second Owner,Petrol,67.0,5.0,18.9,Hatchback,Agra,BHP,16.0,1.1
80,Chevrolet,Spark 1.0 LT Option Pack,50000,2009.0,995.0,Third Party,Manual,60000.0,Second Owner,Petrol,62.14,5.0,16.0,Hatchback,Agra,PS,16.0,1.0
81,Ford,Figo Titanium Diesel,550000,2020.0,1499.0,Third Party,Manual,60000.0,Second Owner,Diesel,98.96,5.0,24.4,Hatchback,Agra,BHP,5.0,1.5
82,Honda,Jazz 1.5 E i DTEC,390000,2015.0,1498.0,Third Party,Manual,90000.0,Second Owner,Diesel,98.6,5.0,27.3,Hatchback,Agra,BHP,10.0,1.5
83,Hyundai,i10 Magna 1.1L,250000,2017.0,1086.0,Third Party,Manual,20000.0,Second Owner,Petrol,68.05,5.0,19.81,Hatchback,Agra,BHP,8.0,1.1
84,Maruti Suzuki,Alto 800 VXI,200000,2013.0,796.0,Third Party,Manual,80000.0,First Owner,Petrol,47.3,5.0,22.74,Hatchback,Agra,BHP,12.0,0.8
85,Maruti Suzuki,Swift Dzire VXI BSVI,725000,2022.0,1197.0,Third Party,Manual,10000.0,First Owner,Petrol,88.5,5.0,22.41,Sedan,Agra,BHP,3.0,1.2
86,Honda,Jazz 1.5 V i DTEC,450000,2017.0,1498.0,Third Party,Manual,110000.0,First Owner,Diesel,98.6,5.0,27.3,Hatchback,Agra,BHP,8.0,1.5
87,Honda,City i-DTEC ZX,750000,2017.0,1498.0,Third Party,Manual,120000.0,First Owner,Diesel,97.9,5.0,25.6,Sedan,Agra,BHP,8.0,1.5
88,Toyota,Etios Liva GD,215000,2011.0,1364.0,Third Party,Manual,70000.0,Third Owner,Diesel,,5.0,23.59,Hatchback,Agra,,14.0,1.4
89,Maruti Suzuki,Alto 800 VXI,206000,2013.0,796.0,Third Party,Manual,80000.0,First Owner,Petrol,47.3,5.0,22.74,Hatchback,Agra,BHP,12.0,0.8
90,Mahindra,XUV500 W8 2WD,550000,2015.0,2179.0,Third Party,Manual,120000.0,First Owner,Diesel,140.0,7.0,16.0,SUV,Agra,BHP,10.0,2.2
91,Maruti Suzuki,Wagon R LXI CNG,250000,2012.0,998.0,Third Party,Manual,150000.0,First Owner,CNG,58.2,5.0,26.2,Hatchback,Agra,BHP,13.0,1.0
92,Maruti Suzuki,Alto 800 VXI,210000,2013.0,796.0,Third Party,Manual,80000.0,First Owner,Petrol,47.3,5.0,22.74,Hatchback,Agra,BHP,12.0,0.8
93,Toyota,Etios V,250000,2011.0,1496.0,Third Party,Manual,70000.0,Second Owner,Petrol,,5.0,17.6,Sedan,Agra,,14.0,1.5
94,Renault,KWID RXL,185000,2016.0,799.0,Third Party,Manual,60000.0,Second Owner,Petrol,53.3,5.0,25.17,Hatchback,Agra,BHP,9.0,0.8
95,Hyundai,Grand i10 Sportz,300000,2014.0,1197.0,Third Party,Manual,70000.0,Third Owner,Petrol,82.0,5.0,18.9,Hatchback,Agra,BHP,11.0,1.2
96,Chevrolet,Spark 1.0 LT,50000,2009.0,995.0,Third Party,Manual,60000.0,Third Owner,Petrol,62.0,5.0,18.0,Hatchback,Agra,BHP,16.0,1.0
97,Chevrolet,Spark 1.0 LT,50000,2009.0,995.0,Third Party,Manual,60000.0,Second Owner,Petrol,62.0,5.0,18.0,Hatchback,Agra,BHP,16.0,1.0
98,Hyundai,Grand i10 CRDi Sportz,250000,2013.0,1120.0,Third Party,Manual,100000.0,Second Owner,Diesel,70.0,5.0,24.0,Hatchback,Agra,BHP,12.0,1.1
99,Maruti Suzuki,SX4 ZXI MT BSIV,190000,2012.0,1586.0,Third Party,Manual,120000.0,Second Owner,Petrol,103.3,5.0,15.5,Sedan,Agra,BHP,13.0,1.6
100,Maruti Suzuki,Swift Dzire VXI 1.2,650000,2019.0,1197.0,Third Party,Manual,40000.0,First Owner,Petrol,81.8,5.0,21.21,Sedan,Agra,BHP,6.0,1.2
101,Mahindra,Scorpio VLX SE BSIV,500000,2013.0,2179.0,Third Party,Manual,80000.0,First Owner,Diesel,120.0,8.0,15.4,SUV,Agra,BHP,12.0,2.2
102,Honda,Amaze E i-Dtech,190000,2013.0,1498.0,Third Party,Manual,120000.0,First Owner,Diesel,98.6,5.0,25.8,Sedan,Agra,BHP,12.0,1.5
103,Maruti Suzuki,Baleno 1.2 Zeta,570000,2019.0,1197.0,Third Party,Manual,80000.0,Second Owner,Petrol,83.1,5.0,21.4,Hatchback,Agra,BHP,6.0,1.2
104,Maruti Suzuki,Swift Dzire ZDI,350000,2014.0,1248.0,Third Party,Manual,80000.0,Second Owner,Diesel,74.0,5.0,23.4,Sedan,Agra,BHP,11.0,1.2
105,Honda,City i DTEC S,380000,2014.0,1498.0,Third Party,Manual,120000.0,Fourth Owner,Diesel,98.6,5.0,26.0,Sedan,Agra,BHP,11.0,1.5
106,Maruti Suzuki,Vitara Brezza VDi,780000,2019.0,1248.0,Third Party,Manual,100000.0,First Owner,Diesel,88.5,5.0,24.3,SUV,Agra,BHP,6.0,1.2
107,Renault,KWID STD,240000,2018.0,799.0,Third Party,Manual,20000.0,First Owner,Petrol,53.3,5.0,25.17,Hatchback,Agra,BHP,7.0,0.8
108,Tata,Nexon XM BSVI,840000,2021.0,1199.0,Third Party,Manual,10000.0,First Owner,Petrol,118.35,5.0,17.33,SUV,Agra,BHP,4.0,1.2
109,Ford,Ecosport 1.5 DV5 MT Trend,250000,2013.0,1498.0,Third Party,Manual,100000.0,Second Owner,Diesel,89.84,5.0,22.7,SUV,Agra,BHP,12.0,1.5
110,Maruti Suzuki,Swift VDI BSIV,400000,2014.0,1248.0,Third Party,Manual,100000.0,Second Owner,Diesel,74.0,5.0,25.2,Hatchback,Agra,BHP,11.0,1.2
111,Maruti Suzuki,Wagon R LXI Minor,150000,2009.0,1061.0,Third Party,Manual,80000.0,First Owner,Petrol,67.0,5.0,18.9,Hatchback,Agra,BHP,16.0,1.1
112,Tata,Indica Aqua 1.3 Quadrajet,100000,2009.0,1248.0,Third Party,Manual,70000.0,Second Owner,Diesel,73.97,5.0,18.0,Hatchback,Agra,PS,16.0,1.2
113,Mahindra,XUV500 W7,1275000,2020.0,2179.0,Third Party,Manual,50000.0,First Owner,Diesel,152.87,7.0,15.1,SUV,Agra,BHP,5.0,2.2
114,Datsun,GO Plus T BSIV,270000,2015.0,1198.0,Third Party,Manual,30000.0,Second Owner,Petrol,67.0,7.0,19.44,MUV,Agra,BHP,10.0,1.2
115,Mahindra,XUV500 W7,1275000,2020.0,2179.0,Third Party,Manual,50000.0,First Owner,Diesel,152.87,7.0,15.1,SUV,Agra,BHP,5.0,2.2
116,Chevrolet,Beat Diesel,220000,2012.0,936.0,Third Party,Manual,70000.0,Second Owner,Diesel,57.6,5.0,25.44,Hatchback,Agra,BHP,13.0,0.9
117,Ford,Aspire 1.5 TDCi Titanium,600000,2017.0,1498.0,Third Party,Manual,50000.0,First Owner,Diesel,99.0,5.0,25.83,Sedan,Agra,BHP,8.0,1.5
118,Mahindra,XUV500 W4,900000,2016.0,2179.0,Third Party,Manual,50000.0,First Owner,Diesel,140.0,7.0,16.0,SUV,Agra,BHP,9.0,2.2
119,Maruti Suzuki,Wagon R ZXI 1.2,495000,2019.0,1197.0,Third Party,Manual,20000.0,First Owner,Petrol,81.8,5.0,20.52,Hatchback,Agra,BHP,6.0,1.2
120,Mahindra,XUV300 W8 Option AMT BSVI,980000,2022.0,1197.0,Third Party,Automatic,60000.0,First Owner,Petrol,108.62,5.0,16.5,SUV,Agra,BHP,3.0,1.2
121,Kia,Seltos GTX DCT,1375000,2019.0,1353.0,Third Party,Automatic,20000.0,First Owner,Petrol,138.0,5.0,16.2,SUV,Agra,BHP,6.0,1.4
122,Maruti Suzuki,Wagon R VXI BS IV,340000,2015.0,998.0,Third Party,Manual,40000.0,First Owner,Petrol,67.04,5.0,20.51,Hatchback,Agra,BHP,10.0,1.0
123,MG,Hector Sharp DCT,1300000,2020.0,1451.0,Third Party,Automatic,40000.0,Second Owner,Petrol,141.0,5.0,13.96,SUV,Agra,BHP,5.0,1.5
124,Tata,Nexon 1.2 Revotron XT,600000,2019.0,1198.0,Third Party,Manual,70000.0,First Owner,Petrol,108.5,5.0,17.0,SUV,Agra,BHP,6.0,1.2
125,Honda,Brio V MT,300000,2012.0,1198.0,Third Party,Manual,60000.0,First Owner,Petrol,86.8,5.0,19.4,Hatchback,Agra,BHP,13.0,1.2
126,Renault,Fluence Diesel E4,500000,2013.0,1461.0,Third Party,Manual,150000.0,Second Owner,Diesel,78.0,5.0,21.8,Sedan,Agra,,12.0,1.5
127,Toyota,Yaris G Optional,1099000,2020.0,1496.0,Third Party,Manual,40000.0,First Owner,Petrol,105.94,5.0,17.1,Sedan,Agra,BHP,5.0,1.5
128,Honda,City 1.5 V MT,350000,2011.0,1497.0,Third Party,Manual,90000.0,Second Owner,Petrol,116.38,5.0,17.0,Sedan,Agra,PS,14.0,1.5
129,Renault,Triber RXL BSIV,435000,2019.0,999.0,Third Party,Manual,20000.0,First Owner,Petrol,72.0,7.0,20.0,MUV,Agra,BHP,6.0,1.0
130,Maruti Suzuki,Wagon R LXI BS IV,186000,2012.0,998.0,Third Party,Manual,100000.0,Second Owner,Petrol,67.1,5.0,18.9,Hatchback,Agra,BHP,13.0,1.0
131,Maruti Suzuki,Eeco CNG 5 Seater AC,625000,2022.0,1196.0,Third Party,Manual,20000.0,First Owner,CNG,61.68,5.0,20.88,Minivans,Agra,BHP,3.0,1.2
132,Maruti Suzuki,Eeco CNG 5 Seater AC,625000,2022.0,1196.0,Third Party,Manual,20000.0,First Owner,CNG,61.68,5.0,20.88,Minivans,Agra,BHP,3.0,1.2
133,Renault,Duster 110PS Diesel RxZ,450000,2012.0,1461.0,Third Party,Manual,120000.0,Second Owner,Diesel,108.45,5.0,19.01,SUV,Agra,BHP,13.0,1.5
134,Hyundai,i20 1.4 Asta,650000,2017.0,1396.0,Third Party,Manual,80000.0,First Owner,Diesel,88.73,5.0,22.54,Hatchback,Agra,BHP,8.0,1.4
135,Maruti Suzuki,Wagon R LXI CNG,350000,2018.0,998.0,Third Party,Manual,150000.0,First Owner,CNG,58.16,5.0,26.6,Hatchback,Agra,BHP,7.0,1.0
136,Hyundai,i10 Magna 1.2,130000,2009.0,1197.0,Third Party,Manual,50000.0,First Owner,Petrol,78.9,5.0,20.36,Hatchback,Agra,BHP,16.0,1.2
137,Maruti Suzuki,Swift VDI BSIV,500000,2017.0,1248.0,Third Party,Manual,70000.0,First Owner,Diesel,74.0,5.0,25.2,Hatchback,Agra,BHP,8.0,1.2
138,Mahindra,Bolero B6 Opt BSVI,950000,2021.0,1493.0,Third Party,Manual,10000.0,First Owner,Diesel,74.96,7.0,16.0,SUV,Agra,BHP,4.0,1.5
